relic_id,type,name,short_name,effect,effect_short,granted_skill,unlock_class_id,source_method,availability,sprite_path,param
LoadedDie,relic,Loaded Die,-,Increases hit chance and critical hit chance by 50%.,Increases hit chance and critical chance by 50%.,-,gunslinger,Class Quest,Act 4,assets/relic/loaded_die.png,[1.5]
PiratesGuile,relic,Pirate's Guile,Loot Goblin,"Increases Speed and Agility based on missing HP, up to double.",Increases Speed and Agility based on missing HP.,-,pirate,-,-,assets/relic/rares.png,[2.0]
LuciensMight,relic,Lucien's Might,Lucien Might,Summons gain an additional 50% of your attributes.,-,-,shaman,Class Quest,Act 3,assets/relic/luciens_might.png,[0.5]
BoneCharm,relic,Bone Charm,Lucky Joker,Reduces SkillType.MP and SkillType.Dark damage received by 25%.,-,-,necromancer,Class Quest,Act 5,assets/relic/lucky_joker.png,[0.75]
LumianBattery,relic,Lumian Battery,-,SkillType.Energy damage dealt gains 25% piercing.,-,-,lumian,Class Quest,Act 5,assets/relic/lumian_battery.png,[0.25;1.0]
LydiasAnkh,relic,Lydia's Ankh,Lydia's Ankh,"Healing allies increases your Discipline by 20% of the healing done, up to +150. Grants Renewal skill.",-,Renewal,priestess,Class Quest,Start,assets/relic/lydias_ankh.png,-
MagesWisdom,relic,Mage's Crystal,Mage Crystal,"Increases Focus by 65%, but can no longer gain Free Turn.",-,-,ice_mage,Class Quest,Act 2,assets/relic/mages_wisdom.png,[1.65]
MagicWand,relic,Magic Wand,-,"When gaining a SkillType.Buff, dispel one SkillType.Debuff if possible.",-,-,magician,-,-,assets/relic/magic_wand.png,[3]
MarinesRucksack,relic,Marine's Rucksack,Rucksack,Increases SkillType.Gadget skill uses by 1. Grants Grenade skill.,-,Grenade,marine,Class Quest,Act 1,assets/relic/rucksack.png,-
MartyrSpike,relic,Martyr's Spike,MartyrSpike,Increases healing output by up to 50% based on missing HP. Grants Blood Shield skill.,Increases SkillType.Healing by up to 50% based on missing HP. Grants Blood Shield.,Blood Shield,blood_zealot,Class Quest,Act 4,assets/relic/martyr_spike.png,[0.5;1.0]
MathiasHat,relic,Mathias' Hat,-,Adds up to .5x Technique to SkillType.Gadget damage.,-,-,steam_lord,Class Quest,Act 4,assets/relic/mathias_hat.png,[0.5]
MedicBackpack,relic,Medic Backpack,Med Backpack,Heals supported ally every turn for 0.65x Focus. Grants Support skill.,Heals supported ally every turn. Grants Support skill.,Support,medic,Class Quest,Act 1,assets/relic/medic_backpack.png,-
MelodicScore,relic,Melodic Score,MelodicScore,Increases Technique by 25% with an active SkillType.Song. Grants Melody skill.,-,Melody,bard,Class Quest,Act 3,assets/relic/melodic_score.png,-
Minerva,relic,Minerva's Icon,MinervaStaff,"Increase Wisdom by +10 and +25%, but lowers Discipline by 10%.",-,-,-,Class Quest,Act 3,assets/relic/minervas_staff.png,[0.9;1.25;10.0]
MinervasStaff,relic,Minerva's Staff,MinervaStaff,Converts 50% of Discipline into Wisdom.,-,-,witch,Class Quest,Act 3,assets/relic/minervas_staff.png,[0.5]
MoneyBag,relic,Money Bag,-,Damage dealt gains 5% piercing for each SkillType.Debuff on you. Max 50%. Grants Bash.,Damage gains 5% piercing for each SkillType.Debuff on you. Max 50%.,Bash,banker,Class Quest,Act 4,assets/relic/money_bag.png,[0.05;0.5;1.0]
MusketeersMusket,relic,Musketeer's Musket,Musketeer's Musket,Converts 25% of Speed into Power. Grants Musket skill.,-,Musket,musketeer,-,-,assets/relic/musket.png,[0.25;0.75]
NanoCarbonScrews,relic,Nanocarbon Screws,Nano Screws,Decreases turn delay of SkillType.Gadget skills by 20%. Grants Pulse Grenade skill.,Decreases turn delay of SkillType.Gadget skills. Grants Pulse Grenade.,Pulse Grenade,space_marine,Class Quest,Act 5,assets/relic/nanocarbon_screws.png,[0.8;1.0]
Necronomicon,relic,Necronomicon,-,Increases SkillType.Dark damage dealt by 25%. Grants Grave's Call skill.,-,-,necromancer,Class Quest,Act 2,assets/relic/necronomicon.png,[0.25]
NinjasRuse,relic,Ninja's Ruse,-,"Chance to reduce damage by 50%, equal to dodge chance.",-,-,ninja,Class Quest,Act 2,assets/relic/ninjas_ruse.png,[0.5]
NoviceSpellbook,relic,Novice Spellbook,Novice Splbk,"SkillType.Spell skills deal 0-20% increased output, but cost 25% increased MP. Grants random basic SkillType.Spell each battle.","SkillType.Spell skills deal +0-20% output, but cost +25% MP. Grants random SkillType.Spell.",-,-,-,-,assets/relic/novice_spellbook.png,[0.2;1.25;2.0;3.0;2;7;3]
HolyWater,relic,Holy Water,Holy Water,Damage taken from Undead decreased by 35%. Grants Consecrate skill.,-,Consecrate,cleric,-,-,assets/relic/holy_water.png,[0.65;3]
Oakheart,relic,Oakheart,-,"Boss Relic. Reduces maximum HP, damage taken, and healing received by 50%.",-,-,-,Boss Reward,-,assets/relic/oakheart.png,[0.5]
OdraksFury,relic,Odrak's Claymore,Odrak Claymr,Increases SkillType.Physical damage dealt by 25%. Grants Cleave skill.,Increases SkillType.Physical damage dealt. Grants Cleave skill.,Cleave,barbarian,Class Quest,Act 2,assets/relic/odraks_claymore.png,[0.25]
OgsSpear,relic,Og's Spear,-,Adds up to .5x Power to SkillType.Ranged damage. Grants Throw Spear skill.,-,Throw Spear,caveman,Class Quest,Act 2,assets/relic/ogs_spear.png,[0.5]
OttosBoots,relic,Otto's Boots,-,Decreases SkillType.Lightning and SkillType.Poison damage taken by 25%. Grants Spring Boots skill.,Decreases SkillType.Lightning and SkillType.Poison damage taken by 25%. Grants Spring Boots.,Spring Boots,inventor,Class Quest,Act 5,assets/relic/alfreds_boots.png,[0.75]
PaddedHelmet,relic,Padded Helmet,Padded Helm,Converts 35% of SkillType.Physical damage taken into SkillType.Stun damage.,-,-,linebacker,Class Quest,Post Act 1,assets/relic/padded_helmet.png,[0.35;0.65]
PainLimiter,relic,Pain Limiter,Pain Lmtr,"Sacrificing HP increases Focus based on percent sacrificed, up to +100.",-,-,inquisitor,Class Quest,Act 5,assets/relic/pain_limiter.png,-
PillBottle,relic,Pill Bottle,Pill Bottle,Increases damage and healing by 25% when under the effects of SkillType.Alcohol skills.,-,-,doctor,Class Quest,Post Act 3,assets/relic/terror_hide.png,[0.2]
PlagueKnife,relic,Plague Knife,Plague Knife,Hits with SkillType.Attack skills decrease target's SkillType.Healing received by 25% for 2 turns. Grants Incision skill.,-,Incision,plague_doctor,Class Quest,Act 1,assets/relic/plague_knife.png,[0.75]
Pocketwatch,relic,Pocket Watch,Pkt Watch,Deal 10% added SkillType.MP damage when dealing SkillType.Sleep damage. Grants Hypnotize skill.,Deal 10% added SkillType.MP damage with SkillType.Sleep damage. Grants Hypnotize.,Hypnotize,magician,-,-,assets/relic/pocket_watch.png,[0.1]
PoliceBadge,relic,Police Badge,-,Damage taken decreased by 10% for each Protected ally. Grants Protect skill.,Damage taken decreased by 10% per Protected ally. Grants Protect.,Protect,cop,Class Quest,Act 5,assets/relic/police_badge.png,[0.1;1.0]
PotShard,relic,Pot Shard,-,Take 5% less damage for each SkillType.Buff on you. Up to 35%.,-,-,fire_spirit_big,Class Quest,Post Act 4,assets/relic/pot_shard.png,[0.05;0.35;1.0]
PricelessTreasure,relic,Priceless Treasure,Treasure,Time Break Tech particle cost reduced by 50% when used by this hero.,-,-,keekuko,-,-,assets/relic/priceless_treasure.png,[0.5]
PriestessGarb,relic,Priestess Garb,Prstess Garb,"Increases SkillType.Healing power by 10%, and decreases SkillType.Dark damage taken by 25%.","Increases SkillType.Healing power by 10%, and SkillType.Dark damage taken by 25%.",-,priestess,Class Quest,Start,assets/relic/priestess_garb.png,[0.1;0.75]
PrimalBond,relic,Primal Bond,-,Gain 25% of the attributes from your summon.,-,-,caveman,Class Quest,Act 2,assets/relic/primal_bond.png,[0.25]
MichaelsClaw,relic,Moonstone,Pursuer Brc,Increases damage dealt by up to 25% with an active SkillType.Aspect skill.,-,-,wolfman,Class Quest,Act 3,assets/relic/pursuer_bracer.png,[0.25]
PursuerBracer,relic,Pursuer Bracer,Pursuer Brc,Increases hit chance of SkillType.Ranged skills by 50%. Grants Wrist Laser skill.,-,Wrist Laser,pursuer,Class Quest,Act 3,assets/relic/pursuer_bracer.png,[1.5]
MagicSatchel,relic,Magic Satchel,Satchel,Converts 25% of Toughness to Agility. Grants Pixie Dust skill.,-,Pixie Dust,pixie,-,-,assets/relic/magic_satchel.png,[0.25;0.75]
RadiantMote,relic,Radiant Mote,-,Increases dodge chance by up to 50% based on missing HP. Grants Blind skill.,-,Blind,lumian,Class Quest,Act 5,assets/relic/radiant_mote.png,[0.5;1.0]
RaidersEdge,relic,Raider's Edge,Raider Edge,Heal for 20-25% of Max HP when an enemy is Downed.,-,-,raider,Class Quest,Act 1,assets/relic/raiders_edge.png,[0.05;0.2]
RalfsFlute,relic,Ralf's Flute,-,Chance to gain a Free Turn after a critical hit. Grants Anthem.,-,-,jester,Class Quest,Post Act 2,assets/relic/ralfs_flute.png,[20.0]
RareHeirloom,relic,Rare Heirloom,Heirloom,"Whenever an enemy gains a free turn, gain one as well.",-,-,keekuko,-,-,assets/relic/rare_heirloom.png,-
Rebreather,relic,Rebreather,-,Gain turn progress from redirected damage. Grants Protect.,-,-,firefighter,Class Quest,Act 4,assets/relic/rebreather.png,-
RedBalloon,relic,Red Balloon,Red Bloon,Negates first direct damage taken after each turn. Grants Balloon skill.,-,Balloon,clown,Class Quest,Post Act 1,assets/relic/red_balloon.png,-
DivasInfluence,relic,Red Rose,-,Taunt effects from this hero last until dispelled.,-,-,diva,Class Quest,Post Act 4,assets/relic/red_rose.png,-
RenesCane,relic,Rene's Cane,-,Increases Focus by 0.35x Discipline.,-,-,bokor,Class Quest,Act 4,assets/relic/renes_cane.png,[0.35]
Revenge,relic,Revenge Token,Revenge Token,"Increases Power by 20%, but decreases Endurance by 10%, after being revived. Stacks up to 10 times.",-,-,super_soldier,Class Quest,Act 1,assets/relic/revenge.png,[0.2;0.9;1.0]
RitualDagger,relic,Ritual Dagger,Ritual Dgr,Deal and take 25% increased SkillType.Dark damage. Grants Ritual skill.,-,Ritual,-,-,-,assets/relic/ritual_dagger.png,[0.25]
RockFist,relic,Rock Fist,-,Increases Power by 0.35x Toughness.,-,-,golem,Class Quest,Act 4,assets/relic/rock_fist.png,[0.35]
RockersIntensity,relic,Rocker's Intensity,Rock Intnsty,"Increases all damage by 25%, but also increases MP costs by 50%.","Increases all damage, but also MP costs.",-,rocker,Class Quest,Act 1,assets/relic/rockers_intensity.png,[0.25;1.5]
RomanCassis,relic,Roman Cassis,Roman Cassis,"Increase Power by +10 whenever OWNER.NAME dodges, up to 15 stacks.",-,-,gladiator,Class Quest,Act 5,assets/relic/roman_cassis.png,[10.0]
RootClipping,relic,Root Clipping,Root Clip,Restore 5-10% Max HP and gain 1 Resist per turn. Grants Rooted passive.,-,-,-,-,-,assets/relic/root_clipping.png,[0.05]
RunedStone,relic,Runed Stone,Rune Stone,Increases maximum MP by 50%.,-,-,golem,Class Quest,Act 4,assets/relic/runed_stone.png,[1.5]
RunedVestments,relic,Runed Vestments,Runed Vstmt,Converts 35% of damage taken into SkillType.MP damage.,-,-,rune_scribe,-,-,assets/relic/runed_vestments.png,[0.35;0.65]
RunicMail,relic,Runic Mail,-,Decreases damage taken from SkillType.Spell skills by 35%. Grants Spellscreen skill.,Decreases damage taken from SkillType.Spell skills by 35%. Grants Spellscreen.,Spellscreen,spellblade,Class Quest,Act 3,assets/relic/runic_mail.png,[0.65]
RupertsGavel,relic,Rupert's Gavel,Rupert's Gavel,SkillType.Attack skill hits decrease enemy Power by 5% for three turns. Stacks. Grants Judgment skill.,-,Judgment,judge,Class Quest,Act 5,assets/relic/ruperts_gavel.png,[0.95]
LeonsSword,relic,Leon's Sword,Leon's Swrd,Hits with SkillType.Attack skills have a 33% chance to taunt non-boss enemies. Grants Guard Strike skill.,Hits with SkillType.Attack skills sometimes taunt enemies. Grants Guard Strike.,Guard Strike,knight,-,-,assets/relic/s_sword.png,[33.0;2;7]
SafetyBook,relic,Safety Manual,Safety Mnl,Reduces MP cost of SkillType.Buff skills by 50%.,-,-,firefighter,Class Quest,Act 4,assets/relic/safety_book.png,[0.5]
SamuelsSixgun,relic,Samuel's Sixgun,Samuel's Gun,Damage is increased by 20% for each critical HP ally.,-,-,-,Class Quest,Act 1,assets/relic/samuels_sixgun.png,[0.2]
LuckyJoker,relic,Lucky Joker,Sas. Grip,Increases critical hit chance by 25% for each SkillType.Debuff on the target.,-,-,gambler,Class Quest,Act 2,assets/relic/sasquatch_grip.png,[0.25;1.0]
SasquatchGrip,relic,Sasquatch Grip,Sas. Grip,Halves chance to miss with SkillType.Attack skills. Grants Toss skill.,-,Toss,sasquatch,Class Quest,Act 2,assets/relic/sasquatch_grip.png,[0.5]
MasterScout,relic,Scout's Flag,Scout Flag,Gain 100% increased Speed for the first turn of battle.,-,-,ranger,Class Quest,Start,assets/relic/master_scout.png,-
BardsFocus,relic,Seb's Lute,Vzh4,Increases Technique by up to 50% based on current HP.,-,-,bard,Class Quest,Act 3,assets/relic/sebs_lute.png,[0.5;1.0]
SentinelCore,relic,Sentinel Core,Sent. Core,Increases Discipline based on missing MP. Grants Energy Lance skill.,-,Energy Lance,sentinel,Class Quest,Act 1,assets/relic/sentinel_core.png,[0.6]
ServiceKevlar,relic,Service Kevlar,Svc Kevlar,Limits HP damage taken per hit to 25% of Max HP.,-,-,secret_service,Class Quest,Post Act 3,assets/relic/service_kevlar.png,[0.25]
ShamanicMind,relic,Shamanic Wand,Shaman Wand,"When channeling, gain 25% of Max MP at start of turn.",-,-,shaman,Class Quest,Act 3,assets/relic/shamans_wand.png,[0.25]
MonksResolve,relic,Shaolin Robe,-,Decreases damage taken from hits by 0.15x Discipline.,-,-,monk,Class Quest,Start,assets/relic/shaolin_garb.png,[0.15;1.0]
ShatteredVanity,relic,Shattered Vanity,Shatter Vnty,Boss Relic. Grants Mirror Image skill. Decreases all attributes by 15%.,Grants Mirror Image skill. Decreases all attributes by 15%.,Mirror Image,-,Boss Reward,-,assets/relic/shattered_vanity.png,[0.85]
SirensTouch,relic,Shell Charm,-,SkillType.Sleep damage dealt gains 50% piercing.,-,-,siren,Class Quest,Act 3,assets/relic/shell_charm.png,[0.5;1.0]
ShepherdsSpirit,relic,Shepherd's Spirit,Shepherd Sprt,Increases MP healing received by 25%. Grants Locust Swarm skill.,-,Locust Swarm,jackal,-,-,assets/relic/shepherds_spirit.png,[0.25]
SheriffBadge,relic,Sheriff Badge,Shrf Badge,Take 5% less damage for each SkillType.Debuff on you. Up to 35%. Grants Shake Off skill.,Take less damage for each SkillType.Debuff on you. Grants Shake Off skill.,Shake Off,-,Class Quest,Act 1,assets/relic/sheriff_badge.png,[0.05;0.35;1.0]
ShieldFragment,relic,Shield Fragment,Shld Frag,Boss Relic. Grants Barricade skill.,-,Barricade,-,Boss Reward,-,assets/relic/shield_fragment.png,-
ShredderSaw,relic,Shredder Saw,Shredder,Boss Relic. Automatically use Spinning Blade for free on a random target at start of turn. Grants Spinning Blade.,Use Spinning Blade at start of turn. Grants Spinning Blade.,-,-,Boss Reward,-,assets/relic/shredder_saw.png,-
ShroomCap,relic,Shroom Cap,-,Boss Relic. Deals 2.5x Focus SkillType.Sleep damage to attacker when hit by SkillType.Attack skills.,Boss Relic. Deals 2.5x Focus SkillType.Sleep damage when hit by SkillType.Attack skills.,-,-,Boss Reward,-,assets/relic/shroom_cap.png,[2.5]
SinnersMask,relic,Sinner's Mask,Sin Mask,"Boss Relic. Grants Boast, Claim and Show Off skills.",-,-,-,Boss Reward,-,assets/relic/sinners_mask.png,-
SladesGuitar,relic,Slade's Guitar,Slade Guitar,SkillType.Sonic skills have reduced turn delay and reset SkillType.Sleep counter on all enemies and allies. Grants Power Ballad skill.,SkillType.Sonic skills have reduced delay and reset SkillType.Sleep on all. Grants Pwr Ballad.,Power Ballad,rocker,Class Quest,Act 1,assets/relic/slades_guitar.png,[0.65;1.0]
SmithTraining,relic,Smith's Training,Smith Trng,Increases Toughness by 15% for 3 turns when using a SkillType.Buff skill. Grants Whetstone skill.,-,Whetstone,blacksmith,Class Quest,Act 1,assets/relic/smith_training.png,[1.15]
SnakeVenom,relic,Snake Venom,-,Increases SkillType.Poison damage by 15% and piercing by 50%.,Increases SkillType.Poison damage by 15% and pierce by 50%.,-,snake_charmer,Class Quest,Act 4,assets/relic/snake_venom.png,[0.15;0.5;1.0]
MendingSpirit,relic,Mending Spirit,Snake Venom,MP healing received also restores 35% as HP.,-,-,samurai,Class Quest,Act 4,assets/relic/snake_venom.png,[0.1;0.35]
SophiasGlass,relic,Sophia's Glass,Sophia Gls,Adds up to .5x Technique to SkillType.Sonic damage. Grants Screech skill.,-,Screech,diva,Class Quest,Post Act 4,assets/relic/sophias_glass.png,[0.5]
Dionysus,relic,Dionysus' Staff,Act Missions,Increases Focus and Agility by +5 and +15%.,-,-,-,-,-,assets/relic/special_missions.png,[1.15;5.0]
StormVisor,relic,Storm Visor,Storm Vsr,Increases hit chance of SkillType.Spell skills by 50%. Grants Ball Lightning skill.,Increases hit chance of SkillType.Spell skills. Grants Ball Lightning skill.,Ball Lightning,maelstrom,Class Quest,Post Act 1,assets/relic/storm_visor.png,[1.5]
SpiderEgg,relic,Spider Egg,Spider Egg,Boss Relic. Automatically summon a Spiderling in battle.,-,-,-,-,-,assets/relic/spider_egg.png,[0.25]
TanksGlove,relic,Tank's Glove,-,Gain +25 Power for 3 turns when missing with a SkillType.Attack skill hit. Grants Clobber skill.,-,Clobber,brawler,Class Quest,Act 5,assets/relic/tanks_glove.png,[25.0]
TerrorHide,relic,Terror Hide,-,Boss Relic. Decreases SkillType.Poison damage taken by 50%. Grants Carapace passive.,Decreases SkillType.Poison damage taken by 50%. Grants Carapace.,-,-,Boss Reward,-,assets/relic/terror_hide.png,[0.5]
Toolbox,relic,Toolbox,-,SkillType.Gadget skills randomly deal 0-20% increased damage or healing. Grants a random SkillType.Gadget skill every battle.,SkillType.Gadget skills deal 0-20% increased output. Grants random SkillType.Gadget skill.,-,-,-,-,assets/relic/toolbox.png,[0.2]
TrackingSensor,relic,Tracking Sensor,Track Sensor,Damage dealt by counter attacks increased by 25%. Grants Motion Tracker skill.,Damage dealt by counters increased by 25%. Grants Motion Tracker.,Motion Tracker,sentrybot,Class Quest,Act 5,assets/relic/tracking_sensor.png,[0.25]
TrainersSigil,relic,Trainer's Sigil,Trn Sigilg,This hero's summon gains 50% increased speed for 3 turns after summoning.,-,-,beastmaster,-,-,assets/relic/trainers_sigil.png,[0.75;1.5]
GhalibsWhip,relic,Trainer's Whip,Trn Whip,SkillType.Attack skill hits decrease enemy TGH and DSC by 10% for 3 turns. Stacks. 2x effect vs Beasts. Grants Whip.,-,-,beastmaster,-,-,assets/relic/trainers_whip.png,[0.2;0.8;0.9;3]
UndeadSoul,relic,Undead Soul,-,"Reduce Stamina loss by 35%, but also receive 50% less healing.",-,-,undead,Class Quest,Act 2,assets/relic/undead_soul.png,[0.5;0.65]
Unobtainium,relic,Unobtainium,Unobtnm,Heal MP for 10% of SkillType.Melee skill hit damage dealt.,-,-,morph,-,-,assets/relic/unobtainium.png,[0.1;0.5]
UtilityBelt,relic,Utility Belt,Util Belt,"The first SkillType.Gadget skill used per battle does not consume a use, and counts as a Bonus Action. Grants Smoke Bomb.",-,-,steam_lord,Class Quest,Act 4,assets/relic/utility_belt.png,-
DryadsWill,relic,Valerian Root,Valerian,Decreases turn delay of SkillType.Debuff skills by 35%.,-,-,dryad,Class Quest,Act 3,assets/relic/valerian_root.png,[0.65;1.0]
VenomSac,relic,Venom Sac,-,Boss Relic. Grants Venom Spray skill.,Grants Venom Spray skill.,Venom Spray,-,-,-,assets/relic/venom_sac.png,-
ViggosGladius,relic,Viggo's Gladius,Viggo Gladius,"Increases Discipline by +10 after each hit with SkillType.Melee skill, up to 10 stacks. Grants Martial Prodigy passive.",-,-,gladiator,Class Quest,Act 5,assets/relic/viggos_gladius.png,[10.0]
VikkisVulstaff,relic,Vikki's Vulstaff,Vulstaff,"Increases Agility based on missing HP, up to 50%. Grants Retreat skill.",Increases Agility based on missing HP. Grants Retreat skill.,Retreat,vul,Class Quest,Act 2,assets/relic/vulstaff.png,[0.5;1.0]
VipersSuit,relic,Viper's Suit,Viper Suit,"When hidden, gain 25% of Max MP at start of turn. Grants Ambush skill.","When hidden, gain 25% of Max MP at start of turn. Grants Ambush.",Ambush,wraith,Class Quest,Act 3,assets/relic/vipers_suit.png,[0.25]
VoidCrystal,relic,Void Crystal,-,Take 33% current HP SkillType.Dark damage after every turn. Grants Void Blast skill.,Take 33% current HP SkillType.Dark damage every turn. Grants Void Blast.,Void Blast,-,-,-,assets/relic/void_crystal.png,[0.33]
VoodooTalisman,relic,Voodoo Talisman,Vdoo Tlsmn,Reduces MP cost of SkillType.Spell skills by 25%. Grants Haunt skill.,-,Haunt,bokor,Class Quest,Act 4,assets/relic/voodoo_talisman.png,[0.75]
VulCunning,relic,Vul Cunning,-,"Increases damage to enemies based on their chance to miss you, up to 100%.",Increases damage to enemies based on their chance to miss you.,-,vul,Class Quest,Act 2,assets/relic/vul_cunning.png,[1.0;2;7]
VulcansHammer,relic,Vulcan's Hammer,Vulcan Hamr,Gain +10 Power for each SkillType.Buff on you.,-,-,blacksmith,Class Quest,Act 1,assets/relic/vulcans_hammer.png,-
WakingWater,relic,Waking Water,-,Healing also removes Sleep counter from allies. Grants Healing Rain skill.,Healing also removes Sleep counter from allies. Grants Healing Rain.,Healing Rain,siren,Class Quest,Act 3,assets/relic/waking_water.png,-
WenshosGift,relic,Wensho's Gift,Wensho's Gft,Increases SkillType.Healing skill power by 25%. Grants Meditate skill.,-,Meditate,monk,Class Quest,Start,assets/relic/wenshos_gift.png,[0.25]
WilliamsZeal,relic,William's Penance,Penance,Increases all attributes by 5% (up to 25%) for each SkillType.Buff skill used. Grants Divine Shield skill.,Increases attributes after SkillType.Buff skills. Grants Divine Shield.,Divine Shield,paladin,Class Quest,Act 3,assets/relic/williams_zeal.png,[0.05;1.0]
WinterCoat,relic,Winter Coat,-,Decreases SkillType.Ice damage taken by 50%.,-,-,pioneer,Class Quest,Act 2,assets/relic/winter_coat.png,[0.5]
WitchsGrimoire,relic,Witch's Grimoire,Grimoire,Your SkillType.Debuff skills last twice as long. Grants Curse skill.,-,Curse,witch,Class Quest,Act 3,assets/relic/eai.png,[3;2;4]
WolfsFerocity,relic,Wolf's Fang,-,Adds up to 5% of target's current HP to SkillType.Melee damage. Grants Howl skill.,Adds up to 5% of target's current HP to SkillType.Melee damage. Grants Howl.,Howl,wolfman,Class Quest,Act 3,assets/relic/wolf_fang.png,[0.05]
WraithSword,relic,Wraith Sword,WraithSword,Deal 25% added SkillType.Energy damage with SkillType.Attack skill hits.,Deal 25% added SkillType.Energy with SkillType.Attack skill hits.,-,wraith,Class Quest,Act 3,assets/relic/wraith_sword.png,[0.25]
WrestlersWill,relic,Wrestler's Will,Wrestler Wl,Reduce the duration of SkillType.Debuff effects on you by 1 turn. Minimum of 1 turn.,Reduce the duration of SkillType.Debuff effects on you by 1 turn.,-,wrestler,Class Quest,Start,assets/relic/wrestlers_will.png,[1.0;2;3;4]
XenoSquadBadge,relic,XenoSquad Badge,Xeno Badge,Increases critical hit chance and critical hit damage vs non-human enemies by 50%.,Increases crit chance and crit damage vs non-human enemies by 50%.,-,space_marine,Class Quest,Act 5,assets/relic/xenosquad_badge.png,[0.5;1.5]
XorkziGambit,relic,Xorkzi's Gambit,XorkGambit,"Critical hits deal 50% increased damage, but non-critical hits deal 35% decreased damage.","Critical hits deal +50% damage, but non-crits deal -35% damage.",-,pursuer,Class Quest,Act 3,assets/relic/xorkzi_gambit.png,[0.5;0.65]
YukikosDagger,relic,Yukiko's Dagger,Yukiko Daggr,Increases Power by 0.25x Technique. Grants Execute skill.,Increases Power based on Technique. Grants Execute skill.,Execute,assassin,Class Quest,Act 1,assets/relic/yukikos_dagger.png,[0.25]
ZanesPassion,relic,Zane's Passion,Zane Passion,SkillType.Spell skills have a 20% chance to grant a Free Turn. Grants the Fire Blast skill.,SkillType.Spell skills sometimes grant a Free Turn. Grants Fire Blast.,-,fire_mage,Class Quest,Start,assets/relic/zanes_passion.png,[20.0]
ZekesBoots,relic,Zeke's Boots,-,Increases SkillType.Stun damage by 35%. Grants Dropkick skill.,Increases SkillType.Stun damage. Grants Dropkick skill.,Dropkick,wrestler,Class Quest,Start,assets/relic/zekes_boots.png,[0.35]
SethsToxin,relic,Seth's Toxin,Zone D,"When hit by an SkillType.Attack skill, attacker takes 5% Max HP SkillType.Poison damage over time for 3 turns. Stacks.",-,-,lizardman,-,-,assets/relic/seths_toxin.png,[0.05;3]
