class_id,quest_id,name,description,limit,reward,gem
marine,gadget,The Right Tool,"Have Darius use a SkillType.Gadget skill other than M16, Air Strike, Grenade, or Smoke Grenade, and win the battle.",,"+2 Skill Points, Marine's Rucksack Relic gains Sprite.infinity_med copies",MarinesRucksack
med_bot,drone,Destroy Competition,"Kill 20 total Drone, Heavy Drone, Sapper Drone or MedBot Husk enemies in winning battles, with MU-21 in the party.",20,"+2 Skill Points, AutoMedico Pamphlet Relic gains Sprite.infinity_med copies",Pamphlet
med_bot,revive,Primary Directive,"Revive 3 total allies with MU-21's Revive Beam skill, in winning battles.",3,"+2 Skill Points, H34L Emitter Relic gains Sprite.infinity_med copies",H34LEmitter
med_bot,technician,No Disassemble,"Kill 5 total Technician enemies in winning battles, with MU-21 in the party.",5,+2 Skill Points,
medic,amputate,Whatever it Takes,"Revive 2 total allies with Harry's Amputate skill, in winning battles.",2,+2 Skill Points,
medic,nobleed,No Man Left Behind,"Win 3 Extreme Danger or Boss battles with Harry in the party, without any allies bleeding out.",3,"+2 Skill Points, Medic Backpack Relic gains Sprite.infinity_med copies",MedicBackpack
medic,support,Squad Support,Win 4 Extreme Danger or Boss battles with both Harry and Darius the Marine in the party.,4,"+2 Skill Points, Harry's Medkit Relic gains Sprite.infinity_med copies",HarrysMedkit
mime,block,Not So Invisible,"Block 3000 total damage with Baptiste's Invisible Wall skill, in winning battles.",3000,"+2 Skill Points, Black Beret Relic gains Sprite.infinity_med copies",BlackBeret
mime,medley,A Varied Performance,"Have Baptiste deal 2,500 total damage to enemies with SkillType.Spell skills and 2,500 total damage to enemies with SkillType.Attack skills, in winning battles.",,+2 Skill Points,
mime,mimicry,Sincere Flattery,"Copy skills from 7 total unique allies with Baptiste's Mimicry skill, in winning battles.",7,"+2 Skill Points, Face Paint Relic gains Sprite.infinity_med copies",WhiteFace
monk,nature,One with Nature,"Deal 1000 total SkillType.Fire damage, 1000 total SkillType.Ice damage, and 1000 total SkillType.Lightning damage with Wensho in winning battles.",,+2 Skill Points,
monk,path,Teaching the Path,"Win battles with Wensho in the party, along with 13 other unique allies in total.",13,"+2 Skill Points, Shaolin Robe Relic gains Sprite.infinity_med copies",MonksResolve
monk,peace,Peaceful Spirit,Win 2 battles in which Wensho deals no damage with any SkillType.Attack skill other than his Counter skill.,2,"+2 Skill Points, Wensho's Gift Relic gains Sprite.infinity_med copies",WenshosGift
morph,assigned,Ruthless Efficiency,"Have Alpha deal 5000 total damage to enemies that have its Assign Target SkillType.Debuff, in winning battles.",5000,+2 Skill Points,
morph,melee,Expanded Database,"Have Alpha use 15 total unique SkillType.Melee skills, in winning battles.",15,"+2 Skill Points, Morph Core Relic gains Sprite.infinity_med copies",MorphCore
morph,restore,Unstoppable,"Have Alpha restore 3500 total HP or MP to itself, in winning battles.",3500,"+2 Skill Points, Unobtainium Relic gains Sprite.infinity_med copies",Unobtainium
musketeer,boss,Au Revoir,"Strike the final blow on a Boss enemy with Alexadre's Coup de Gras skill, and win the battle.",,"+2 Skill Points, Fencer's Riposte Relic gains Sprite.infinity_med copies",FencersRiposte
musketeer,disarm,Allez,"Hit enemies with Alexandre's Disarm skill 30 total times, in winning battles.",30,+2 Skill Points,
musketeer,historical,All for One,"Win battles with Alexandre in the party, along with 6 other unique Historical era allies in total.",6,"+2 Skill Points, Musketeer's Musket Relic gains Sprite.infinity_med copies",MusketeersMusket
necromancer,kill,Bone Collector,"Kill 10 total Human enemies and 10 total Beast enemies in winning battles, with Sovras in the party.",,"+2 Skill Points, Bone Charm Relic gains Sprite.infinity_med copies",BoneCharm
necromancer,reap,Grim Reaper,"Strike the final blow on 8 total enemies with Sovras' Reap or Grave's Call skills, in winning battles.",8,"+2 Skill Points, Necronomicon Relic gains Sprite.infinity_med copies",Necronomicon
necromancer,soul,True Master,"Kill 3 total Soul Master enemies in winning battles, with Sovras in the party.",3,+2 Skill Points,
ninja,caltrops,Watch Your Step,"Strike the final blow on an enemy with Ishikawa's Caltrops skill, and win the battle.",,"+2 Skill Points, Ninja's Ruse Relic gains Sprite.infinity_med copies",NinjasRuse
ninja,poison,The Silent Killer,"Deal 3000 total SkillType.Poison damage to enemies with Ishikawa, in winning battles.",3000,+2 Skill Points,
ninja,tools,Tools of the Trade,Win 3 battles while using each of Ishikawa's Ninja Tools at least once.,3,"+2 Skill Points, Ishikawa's Garb Relic gains Sprite.infinity_med copies",IshikawaGarb
paladin,hand,Hand of the Divine,"Restore 3000 total ally HP and deal 5000 total SkillType.Holy damage with William, in winning battles.",,+2 Skill Points,
paladin,knight,Crusaders,Win 2 Boss battles with both William and Leon the Knight in the party.,2,"+2 Skill Points, Holy Blade Relic gains Sprite.infinity_med copies",HolyBlade
paladin,shield,Holy Protection,"Prevent 3000 total damage with William's Divine Shield skill, in winning battles.",3000,"+2 Skill Points, William's Penance Relic gains Sprite.infinity_med copies",WilliamsZeal
pioneer,beast,Fur Trader,"Kill 25 total Beast enemies in winning battles, with Jed in the party.",25,+2 Skill Points,
pioneer,track,Master Tracker,"Down 8 total enemies while they have Jed's Track skill SkillType.Debuff applied, in winning battles.",8,"+2 Skill Points, Jed's Cap Relic gains Sprite.infinity_med copies",JedsCap
pioneer,trap,Master Trapper,"Interrupt 8 total enemy turns with Jed's Bear Trap skill, in winning battles.",8,"+2 Skill Points, Winter Coat Relic gains Sprite.infinity_med copies",WinterCoat
pirate,beam,Shouldn't Have Hit Me,"Strike the final blow on 2 enemies at once with a single use of Jackson's Hyper Beam skill, and win the battle.",,"+2 Skill Points, Jackson's Dog Tags Relic gains Sprite.infinity_med copies",JacksonsDogTags
pirate,boss,I'm the Juggernaut,Win 3 Boss battles with Jackson in the party.,3,+2 Skill Points,
pirate,pirate,Swashbuckler,"Have Jack use SkillType.Melee skills 6 times and SkillType.Ranged skills 5 times in a single winning Extreme Danger or Boss battle, without him being downed.",,"+2 Skill Points, Jack's Rum Relic gains Sprite.infinity_med copies",JacksRum
pirate,plunder,Plundered Riches,"Hit Husk or Boss enemies with Jack's Plunder skill 8 total times, in winning battles.",8,"+2 Skill Points, Pirate's Guile Relic gains Sprite.infinity_med copies",PiratesGuile
pirate,rum,Pirate's Best Friend,Use Jack's Rum skill 25 total times in winning battles.,25,+2 Skill Points,
pirate,shield,"C'mon, Hit Me","Block 3000 total damage with Jackson's Kinetic Barrier skill, in winning battles.",3000,"+2 Skill Points, Kinetic Shield Gen Relic gains Sprite.infinity_med copies",KineticShieldGen
pixie,fairycurse,Spreading Mischief,"Apply Blueberry's Fairy Curse skill to 9 total unique enemies, in winning battles.",9,"+2 Skill Points, Blueberry Relic gains Sprite.infinity_med copies",Blueberry
pixie,fairykiss,Spreading Joy,"Use Blueberry's Fairy Kiss skill on 7 total unique allies, in winning battles.",7,"+2 Skill Points, Magic Satchel Relic gains Sprite.infinity_med copies",MagicSatchel
pixie,pixiedust,Achoo!,"Restore 5000 total HP with Blueberry's Pixie Dust skill, in winning battles.",5000,+2 Skill Points,
plague_doctor,plague,Outbreak,"Have 3 or more stacks of Ambroise's Plague skill on at least 8 enemies or allies at once, in a single winning battle.",,"+2 Skill Points, Plague Knife Relic gains Sprite.infinity_med copies",PlagueKnife
plague_doctor,poison,Lesions and Boils,"Deal 10,000 total SkillType.Poison damage to enemies with Ambroise, in winning battles.",10000,+2 Skill Points,
plague_doctor,spread,Epidemic,"Apply Amboise's Plague skill to 25 total unique enemies, in winning battles.",25,"+2 Skill Points, Aromatic Mask Relic gains Sprite.infinity_med copies",AromaticMask
priestess,blessing,Blessed Champions,"Use Lydia's Blessing skill on 12 unique allies in total, in winning battles.",12,"+2 Skill Points, Lydia's Ankh Relic gains Sprite.infinity_med copies",LydiasAnkh
priestess,boss,Divine Protection,"Win a Boss battle with Lydia in the party, without any allies being downed.",,"+2 Skill Points, Priestess Garb Relic gains Sprite.infinity_med copies",PriestessGarb
priestess,healing,Sisters' Promise,"Restore 7000 total ally HP with Lydia, in winning battles.",7000,+2 Skill Points,
pursuer,decoy,Decoy Target,"Kill a Wraith husk while Xorkzi is in the party, and win the battle.",,"+2 Skill Points, Xorkzi's Gambit Relic gains Sprite.infinity_med copies",XorkziGambit
pursuer,missile,Predator,"Strike the final blow on 3 total enemies with Xorkzi's PR3D-Missile skill, in winning battles.",3,"+2 Skill Points, Pursuer Bracer Relic gains Sprite.infinity_med copies",PursuerBracer
pursuer,wraith,Unlikely Partners,Win a Boss battle with both Xorkzi and Viper the Wraith in the party.,,+2 Skill Points,
raider,chainsaw,Meat Grinder,Use Buzzard's Chainsaw skill on a Boss enemy three times in a single winning battle.,3,"+2 Skill Points, Buzzard's Saw Relic gains Sprite.infinity_med copies",BuzzardsSaw
raider,gadget,Big Booms,"Deal 10,000 total damage with any of Buzzard's SkillType.Gadget skills, in winning battles.",10000,+2 Skill Points,
raider,scrap,Gatherin' Scrap,"Kill 20 total Mechanical enemies in winning battles, with Buzzard in the party.",20,"+2 Skill Points, Raider's Edge Relic gains Sprite.infinity_med copies",RaidersEdge
ranger,bite,Cana's Bite,Deal 5000 total damage with Cana in winning battles.,5000,+2 Skill Points,
ranger,justice,Animal Justice,"Kill 10 Beastrager enemies in winning battles, with Iana in the party.",10,"+2 Skill Points, Master Scout's Flag Relic gains Sprite.infinity_med copies",MasterScout
ranger,pincushion,Rapid Fire,"Strike the final blow on 15 total enemies with Iana's Pincushion skill, in winning battles.",15,"+2 Skill Points, Iana's Bow Relic gains Sprite.infinity_med copies",IanasBow
rocker,jam,Cranked to Eleven,"Use any of Slade's Jam skills 20 total times with his Amp it Up skill also active, in winning battles.",20,"+2 Skill Points, Slade's Guitar Relic gains Sprite.infinity_med copies",SladesGuitar
rocker,mosh,Epic Mosh,"Deal 420 total damage with a single use of Slade's Mosh skill, in a winning battle.",420,"+2 Skill Points, Rocker's Intensity Relic gains Sprite.infinity_med copies",RockersIntensity
rocker,sonic,Sonic Assault,"Deal 7777 total SkillType.Sonic damage to enemies with Slade, in winning battles.",7777,+2 Skill Points,
rune_scribe,refresh,Maintaining the Guard,"Have Emmy Refresh 5 or more Rune effects at once, in a winning battle.",5,+2 Skill Points,
rune_scribe,shatter,Shattering their Faith,"Have Emmy dispel 3 SkillType.Buff effects with a single Shatter use, in a winning battle.",3,"+2 Skill Points, Dispelling Wand Relic gains Sprite.infinity_med copies",DispellingWand
rune_scribe,spellblade,Sisters Extraordinaire,Win 5 Extreme Danger or Boss battles with both Emmy and Gabrielle the Spellblade in the party.,5,"+2 Skill Points, Runed Vestments Relic gains Sprite.infinity_med copies",RunedVestments
samurai,medley,Sword Mastery,"Block 3000 total damage with Kenjiro's Great Shell skill, deal 3000 total damage to enemies with Kenjiro's Falling Leaf skill, and deal 3000 total damage to enemies with Kenjiro's Foxfire skill, in winning battles.",,+2 Skill Points,
samurai,samurai,A Matter of Honor,"Kill a Samurai husk with Kenjiro in the party, and win the battle.",,"+2 Skill Points, Mending Spirit Relic gains Sprite.infinity_med copies",MendingSpirit
samurai,spirit,Way of the Blade,Activate all 3 unique Sword Spirits with Kenjiro in a single winning battle.,3,"+2 Skill Points, Kenjiro's Katana Relic gains Sprite.infinity_med copies",SamuraiBlade
sasquatch,damage,Korr Crush,"Deal 12,000 total damage with Korr, in winning battles.",12000,+2 Skill Points,
sasquatch,elite,King of the Mountain,Win 5 Extreme Danger battles with Korr in the party.,5,"+2 Skill Points, Korr's Solitude Relic gains Sprite.infinity_med copies",KorrsSolitude
sasquatch,toss,Major League Arm,"Strike the final blow on 3 total enemies with Korr's Toss skill, in winning battles.",3,"+2 Skill Points, Sasquatch Grip Relic gains Sprite.infinity_med copies",SasquatchGrip
secret_service,protect,Get Down!,"Have Agent be downed while using Protect on an ally, and win the battle.",,"+2 Skill Points, Service Kevlar Relic gains Sprite.infinity_med copies",ServiceKevlar
secret_service,ranged,Marksman,"Deal 6000 total SkillType.Ranged damage to enemies with Agent, in winning battles.",6000,+2 Skill Points,
secret_service,replace,Replaceable,"Have Agent bleed out and be replaced via his Faceless skill 5 total times, in winning battles.",5,"+2 Skill Points, Agent's Watch Relic gains Sprite.infinity_med copies",AgentsWatch
sentinel,lance,Lancer,"Deal 800 total damage with a single use of Rafael's Energy Lance skill, and win the battle.",800,"+2 Skill Points, Sentinel Core Relic gains Sprite.infinity_med copies",SentinelCore
sentinel,shield,Sentinel's Duty,"Block 7500 total damage with Rafael's Forcefield skill, in winning battles.",7500,+2 Skill Points,
sentinel,unleash,Overloaded,"Deal 2500 total damage with a single use of Rafael's Unleash Force skill, and win the battle.",2500,"+2 Skill Points, Energy Bracer Relic gains Sprite.infinity_med copies",EnergyBracer
sentrybot,boss,Silence the Voice,Defeat the CENCOM Boss with Warden in the party.,,"+2 Skill Points, Tracking Sensor Relic gains Sprite.infinity_med copies",TrackingSensor
sentrybot,cultist,Kill Bad Meat,"Kill 25 total Cultist enemies in winning battles, with Warden in the party.",25,+2 Skill Points,
sentrybot,downed,Be the Hero,"Win an Extreme Danger or Boss battle with Warden in the party, after at least one ally has been downed and Warden has not.",,"+2 Skill Points, Hero's Heart Relic gains Sprite.infinity_med copies",HerosHeart
shaman,damage,Animal Might,"Deal 6000 total damage to enemies with Lucien's Boar Spirit or Owl Spirit, in winning battles.",6000,"+2 Skill Points, Lucien's Might Relic gains Sprite.infinity_med copies",LuciensMight
shaman,heal,Elk's Majesty,"Restore 4000 total ally HP with Lucien's Elk Spirit, in winning battles.",4000,"+2 Skill Points, Shamanic Wand Relic gains Sprite.infinity_med copies",ShamanicMind
shaman,shield,Mental Fortitude,"Block 3000 total damage with Lucien's Spirit Shield skill, in winning battles.",3000,+2 Skill Points,
siren,drown,Watery Grave,"Strike the final blow on 3 total Human enemies with Raidne's Drown skill, in winning battles.",3,"+2 Skill Points, Shell Charm Relic gains Sprite.infinity_med copies",SirensTouch
siren,heal,Healing Waves,"Restore 3000 total ally HP with Raidne, in winning battles.",3000,"+2 Skill Points, Waking Water Relic gains Sprite.infinity_med copies",WakingWater
siren,sleep,Hypnotizing Song,"Put enemies to sleep 20 total times with Raidne in the party, in winning battles.",20,+2 Skill Points,
snake_charmer,charm,Wrong Side of the Bed,"Deal 3000 total SkillType.Sleep damage to Charmed enemies with Lila, in winning battles.",3000,"+2 Skill Points, Charmer's Veil Relic gains Sprite.infinity_med copies",CharmersVeil
snake_charmer,poison,Three Step,"Strike the final blow on 3 total enemies with SkillType.Poison damage applied by Lila, in winning battles.",3,"+2 Skill Points, Snake Venom Relic gains Sprite.infinity_med copies",SnakeVenom
snake_charmer,sleep,Troubled Sleep,"Deal 5000 total SkillType.Poison damage to sleeping enemies with Lila, in winning battles.",5000,+2 Skill Points,
space_marine,marine,"Once a Marine, Always a Marine",Win 10 battles with both Carmen and Darius the Marine in the party.,10,+2 Skill Points,
space_marine,squad,Focus Fire,"Deal 2500 total damage with Carmen's Pulse Rifle skill during another hero's turn, in winning battles.",2500,"+2 Skill Points, Nanocarbon Screws Relic gains Sprite.infinity_med copies",NanoCarbonScrews
space_marine,xeno,Xeno Hunter,"Defeat the King Terror Boss with Carmen in the party, and kill 10 Anomaly type enemies with Carmen in the party, in winning battles.",,"+2 Skill Points, XenoSquad Badge Relic gains Sprite.infinity_med copies",XenoSquadBadge
spellblade,feedback,My Own Worst Enemy,"Deal 3000 total damage to enemies with Gabrielle's Feedback skill, in winning battles.",3000,"+2 Skill Points, Runic Mail Relic gains Sprite.infinity_med copies",RunicMail
spellblade,refract,Spell Bending,"Cast 25 SkillType.Spell skills with Gabrielle's Spell Refraction skill, in winning battles.",25,+2 Skill Points,
spellblade,shatter,Strength to Weakness,"Remove 15 total SkillType.Buff from enemies using Gabrielle's Shatter skill, in winning battles.",15,"+2 Skill Points, Arcane Vision Relic gains Sprite.infinity_med copies",ArcaneVision
steam_lord,nomech,Gadget Master,Win 3 battles in which Mathias uses only SkillType.Gadget skills and does not enter his Steam Mech.,3,"+2 Skill Points, Utility Belt Relic gains Sprite.infinity_med copies",UtilityBelt
steam_lord,steammech,Mechanized Assault,"Deal 8000 total damage to enemies with Mathias while he is in his Steam Mech, in winning battles.",8000,+2 Skill Points,
steam_lord,upgrade,Fully Loaded,Have at least 3 unique Upgrade skills active on Mathias' Steam Mech at once in a single winning battle.,,"+2 Skill Points, Mathias' Hat Relic gains Sprite.infinity_med copies",MathiasHat
super_soldier,damage,Take the Pain,"Have Carlos take 10,000 total damage in winning battles.",10000,+2 Skill Points,
super_soldier,dominator,Dominate This,"Hit a Dominator enemy with Carlos' Grenade Punch skill, and win the battle.",,"+2 Skill Points, Alacrity Implant Relic gains Sprite.infinity_med copies",AlacrityImplant
super_soldier,revive,"Live, Die, Repeat","Have Carlos be downed and revive himself 3 times with his R3GnX skill, in one winning battle.",3,"+2 Skill Points, Revenge Token Relic gains Sprite.infinity_med copies",Revenge
undead,fire,Burning Sword,"Deal 4000 total SkillType.Fire damage to enemies with Drex, in winning battles.",4000,+2 Skill Points,
undead,rekindle,Stoke the Flame,Use Drex's Rekindle skill 10 total times in winning battles.,10,"+2 Skill Points, Undead Soul Relic gains Sprite.infinity_med copies",UndeadSoul
undead,soul,Destroy the Master,"Strike the final blow on a Soul Master enemy with Drex, and win the battle.",,"+2 Skill Points, Drex's Shield Relic gains Sprite.infinity_med copies",DrexsShield
vampire,execute,The Sweetest Prey,"Strike the final blow on 10 total Human enemies with Edgard's Exsanguinate skill, in winning battles.",10,"+2 Skill Points, Edgard's Cape Relic gains Sprite.infinity_med copies",VampiricTouch
vampire,restore,Unslakable Thirst,"Have Edgard restore 5000 total HP to himself, in winning battles.",5000,+2 Skill Points,
vampire,undead,Creatures of the Night,Win 10 battles with both Edgard and another Undead ally (including summons) in the party.,10,"+2 Skill Points, Gnawing Fang Relic gains Sprite.infinity_med copies",GnawingFang
vampire_hunter,blood,Scent of the Hunt,"End 25 total turns with Abraham under the effect of his Blood Trance skill, in winning battles.",25,"+2 Skill Points, Hunter's Blood Relic gains Sprite.infinity_med copies",HuntersBlood
vampire_hunter,crit,Deadly Accuracy,"Deal 30 total critical hits to enemies with Abraham, in winning battles.",30,"+2 Skill Points, Abraham's Locket Relic gains Sprite.infinity_med copies",AbrahamsLocket
vampire_hunter,undead,Solemn Duty,"Kill 25 total Undead enemies in winning battles, with Abraham in the party.",25,+2 Skill Points,
viking,boss,Unstoppable,"Win a Boss battle with Thorg in the party, without him being downed.",,"+2 Skill Points, Horned Helmet Relic gains Sprite.infinity_med copies",HornedHelmet
viking,critical,Berserker's Rage,"Strike the final blow on 3 total enemies with Thorg while he is at critical HP, in winning battles.",3,+2 Skill Points,
viking,elite,Chasing Glory,Win 5 Extreme Danger or Boss combats with Thorg in the party.,5,"+2 Skill Points, Viking Warhorn Relic gains Sprite.infinity_med copies",Warhorn
vul,cultist,Vulpine Vengeance,"Kill 25 total Human Cultist enemies in winning battles, with Vikki in the party.",25,+2 Skill Points,
vul,dodge,Vulpine Agility,"Dodge 25 total hits with Vikki, in winning battles.",25,"+2 Skill Points, Vul Cunning Relic gains Sprite.infinity_med copies",VulCunning
vul,versatile,Vulpine Ingenuity,"Have Vikki deal 2000 total damage to enemies with SkillType.Melee skills, 2000 total damage to enemies with SkillType.Spell skills, and restore 1000 total ally HP, in winning battles.",,"+2 Skill Points, Vikki's Vulstaff Relic gains Sprite.infinity_med copies",VikkisVulstaff
witch,cauldron,"Bubble, Bubble","Deal 5000 total SkillType.Fire damage, 5000 total SkillType.Dark damage, and 3000 total SkillType.Poison damage with Minerva in winning battles.",,+2 Skill Points,
witch,plant,Collecting Reagents,"Kill 15 total Plant enemies in winning battles, with Minerva in the party.",15,"+2 Skill Points, Witch's Grimoire Relic gains Sprite.infinity_med copies",WitchsGrimoire
witch,shroom,Preparing the Sacrifice,"Hit the King Shroom Boss with Minerva's Ritual skill, and win the battle.",,"+2 Skill Points, Minerva's Staff Relic gains Sprite.infinity_med copies",MinervasStaff
wolfman,beast,Pack Hunting,Win 10 battles with both Michael and another Beast ally (including summons) in the party.,10,"+2 Skill Points, Moonstone Relic gains Sprite.infinity_med copies",MichaelsClaw
wolfman,curse,Rip and Tear,"Strike the final blow on 5 total enemies with Michael while he is under the effect of Midnight Curse, in winning battles.",5,"+2 Skill Points, Wolf's Fang Relic gains Sprite.infinity_med copies",WolfsFerocity
wolfman,whiskey,Drown the Pain,"Use Michael's Whiskey skill 25 total times, in winning battles.",25,+2 Skill Points,
wraith,phantom,A Thousand Cuts,"Deal 1200 damage with a single use of Viper's Phantom Cut skill, and win the battle.",1200,"+2 Skill Points, Wraith Sword Relic gains Sprite.infinity_med copies",WraithSword
wraith,pursuer,Evading Capture,"Kill a Pursuer husk with Viper in the party, and win the battle.",,"+2 Skill Points, Viper's Suit Relic gains Sprite.infinity_med copies",VipersSuit
wraith,vendor,Once a Thief,"Break into a Vending Machine while on a mission, with Viper in the party.",,+2 Skill Points,
wrestler,boss,Cream of the Crop,"Strike the final blow on a Boss enemy with Zeke's Finisher skill, and win the battle.",,"+2 Skill Points, Wrestler's Will Relic gains Sprite.infinity_med copies",WrestlersWill
wrestler,champ,Five Time Champ,"Win 5 Extreme Danger or Boss battles, while using Zeke's Finisher skill in each.",5,"+2 Skill Points, Zeke's Boots Relic gains Sprite.infinity_med copies",ZekesBoots
wrestler,taunt,"Come at Me, Bro",Have Zeke take 5000 total damage from Taunted enemies in winning battles.,5000,+2 Skill Points,
yakuza,extort,Racketeer,"Use Kazuo's Extort skill 15 total times, in winning battles.",15,+2 Skill Points,
yakuza,intimidate,Fearless,"Hit a Boss enemy with Kazuo's Intimidate skill, and win the battle.",,"+2 Skill Points, Dragon Tattoo Relic gains Sprite.infinity_med copies",DragonTattoo
yakuza,samurai,Modern Bushido,Win 4 Extreme Danger or Boss battles with both Kazuo and Kenjiro the Samurai in the party.,4,"+2 Skill Points, Honor Code Relic gains Sprite.infinity_med copies",HonorCode
